Last Name,First Name,Average Salary,Team,Position
Daniels,B.J.,645000,NYG,WR
Beatty,William,1100000,NYG,LT
Johnson,Josh,885000,NYG,QB
Sheppard,Kelvin,840000,NYG,ILB
Rainey,Bobby,840000,NYG,RB
Stingily,Byron,780000,NYG,RT
Cudjo,Jermelle,760000,NYG,DT
Seymour,Ryan,600000,NYG,G
Brooks,Brandon,8000000,PHI,G
Daniel,Chase,7000000,PHI,QB
Bradham,Nigel,3500000,PHI,OLB
Brooks,Ron,1833333,PHI,CB
Tulloch,Stephen,2500000,PHI,ILB
Carroll,Nolan,2360000,PHI,CB
Wisniewski,Stefen,1510000,PHI,C
Randle,Rueben,1025000,PHI,WR
Givens,Chris,840000,PHI,WR
Quigley,Ryan,675000,PHI,P
Norman,Josh,15000000,WAS,CB
Davis,Vernon,2400000,WAS,TE
Blackmon,Will,1025000,WAS,CB
Galette,Junior,1600000,WAS,OLB
Jenkins,Cullen,985000,WAS,DE
LeRibeus,Josh,920000,WAS,C
Toler,Greg,840000,WAS,CB
Garvin,Terence,750000,WAS,ILB
Trevathan,Danny,6125000,CHI,ILB
Sitton,Josh,7000000,CHI,G
Massie,Bobby,6000000,CHI,RT
Freeman,Jerrell,4000000,CHI,ILB
Porter,Tracy,4000000,CHI,CB
Hicks,Akiem,5000000,CHI,DE
Miller,Zach,2750000,CHI,TE
McManis,Sherrick,1425000,CHI,CB
Unrein,Mitch,1130000,CHI,DT
Hoyer,Brian,2000000,CHI,QB
Larsen,Ted,1650000,CHI,G
Ramirez,Manuel,965000,CHI,G
Acho,Sam,840000,CHI,OLB
Thompson,Deonte,840000,CHI,WR
Paulsen,Logan,760000,CHI,TE
Smith,Shelley,760000,CHI,G
Adams,Mike,760000,CHI,LT
Young,Darrel,760000,CHI,FB
Boykin,Brandon,760000,CHI,CB
Moeaki,Tony,760000,CHI,TE
Housler,Robert,760000,CHI,TE
Holmes,Khaled,675000,CHI,C
Chandler,Nate,675000,CHI,LT
Becton,Nick,675000,CHI,LT
Jones,Marvin,8000000,DET,WR
Whitehead,Tahir,4000000,DET,OLB
Bademosi,Johnson,2250000,DET,CB
Boldin,Anquan,2750000,DET,WR
Charles,Stefan,1750000,DET,DT
Orlovsky,Dan,1065000,DET,QB
Muhlbach,Don,1065000,DET,LS
Forsett,Justin,885000,DET,RB
Caldwell,Andre,885000,DET,WR
Kerley,Jeremy,850000,DET,WR
Schwartz,Geoff,840000,DET,G
Walls,Darrin,840000,DET,CB
Wright,Tim,815000,DET,TE
Jeanpierre,Lemuel,760000,DET,C
Quarless,Andrew,760000,DET,TE
Roberts,Andre,760000,DET,WR
Butler,Crezdon,760000,DET,CB
Starks,James,3000000,GB,RB
Perry,Nick,5050000,GB,OLB
Cook,Jared,2750000,GB,TE
McCray,Lerentee,800000,GB,OLB
Barclay,Don,700000,GB,RT
Boone,Alex,6700000,MIN,G
Lamur,Emmanuel,2750000,MIN,OLB
Sherels,Marcus,2000000,MIN,CB
Smith,Andre,3500000,MIN,RT
Greenway,Chad,2750000,MIN,OLB
Newman,Terence,2500000,MIN,CB
Harris,Mike,2000000,MIN,G
Ellison,Rhett,1750000,MIN,TE
Asiata,Matt,840000,MIN,RB
Trattou,Justin,810000,MIN,DE
Lewis,Travis,810000,MIN,ILB
Hillman,Ronnie,760000,MIN,RB
Mack,Alex,9000000,ATL,C
Sanu,Mohamed,6500000,ATL,WR
Shelby,Derrick,4500000,ATL,DE
Clayborn,Adrian,4250000,ATL,DE
Schaub,Matt,2750000,ATL,QB
Chester,Chris,2350000,ATL,G
Weatherspoon,Sean,1500000,ATL,ILB
Upshaw,Courtney,1250000,ATL,OLB
Freeney,Dwight,1000000,ATL,OLB
Graham,Shayne,985000,ATL,K
Wheeler,Philip,965000,ATL,OLB
Harris,Bryce,820000,ATL,RT
Compton,Tom,785000,ATL,G
Reynolds,LaRoy,675000,ATL,ILB
Soliai,Paul,3500000,CAR,DT
Gradkowski,Gino,1050000,CAR,C
Scifres,Mike,985000,CAR,P
Love,Kyle,840000,CAR,DT
Johnson,Leonard,760000,CAR,CB
Fleener,Coby,7200000,NO,TE
Laurinaitis,James,2750000,NO,ILB
Robertson,Craig,1666667,NO,ILB
Stupar,Nathan,1666667,NO,OLB
Kruger,Paul,3000000,NO,OLB
Fairley,Nick,3000000,NO,DT
McCown,Luke,1500000,NO,QB
Finnegan,Cortland,1035000,NO,CB
Evans,Jahri,1000000,NO,G
Barnes,Khalif,985000,NO,LT
Kuhn,John,985000,NO,FB
Tapp,Darryl,985000,NO,DE
Nicks,Hakeem,885000,NO,WR
Barth,Connor,885000,NO,K
Hightower,Tim,840000,NO,RB
Cadet,Travaris,840000,NO,RB
Forbath,Kai,840000,NO,K
Sweezy,J.R.,6500000,TB,G
Ayers,Robert,6500000,TB,DE
Grimes,Brent,6750000,TB,CB
Smith,Daryl,2500000,TB,ILB
Robinson,Josh,2000000,TB,CB
Anger,Bryan,1750000,TB,P
Shorts,Cecil,1050000,TB,WR
Sensabaugh,Coty,4666667,LA,CB
Sims,Eugene,3333333,LA,DE
Coples,Quinton,3250000,LA,OLB
Harkey,Cory,1900000,LA,FB
Barnes,Tim,2750000,LA,C
Quick,Brian,1750000,LA,WR
Thomas,Cam,760000,LA,DE
Folkerts,Brian,675000,LA,C
Easley,Dominique,600000,LA,DT
Lane,Jeremy,5750000,SEA,CB
Kearse,Jermaine,4500000,SEA,WR
Ryan,Jon,2500000,SEA,P
Webb,J'Marcus,2875000,SEA,RT
Clemons,Chris,1500000,SEA,DE
Siliga,Sealver,1050000,SEA,DT
Morgan,Michael,1000000,SEA,OLB
Sowell,Bradley,1000000,SEA,LT
McDaniel,Tony,985000,SEA,DT
Tukuafu,Will,760000,SEA,FB
Browner,Brandon,760000,SEA,CB
Michael,Christine,725000,SEA,RB
Thorpe,Neiko,675000,SEA,CB
Williams,Brandon,675000,SEA,TE
Beadles,Zane,3250000,SF,G
Dawson,Phil,3134000,SF,K
Martin,Keshawn,1087500,SF,WR
Jerod-Eddie,Tony,1000000,SF,DE
Lewis,Thaddeus,760000,SF,QB
